,0
0,-0.10386224836111069
1,0.18654334545135498
2,0.0464591458439827
3,-0.002699662931263447
4,-0.07356487959623337
5,0.037944991141557693
6,-0.0791819766163826
7,-0.06508083641529083
8,0.046702686697244644
9,0.006970467511564493
10,0.21006597578525543
11,-0.07181794941425323
12,-0.30664926767349243
13,0.007249463349580765
14,0.04333692044019699
15,0.13130050897598267
16,-0.12442845106124878
17,-0.01747797429561615
18,-0.2107991874217987
19,-0.06964322179555893
20,0.025617359206080437
21,0.026557540521025658
22,0.08283861726522446
23,0.0032963561825454235
24,-0.13932596147060394
25,-0.25834646821022034
26,-0.048866961151361465
27,-0.14105072617530823
28,-0.06439442932605743
29,-0.10157988965511322
30,0.07190106064081192
31,-0.03481816500425339
32,-0.19669324159622192
33,-0.06897834688425064
34,-0.033145058900117874
35,-0.015277162194252014
36,-0.052809663116931915
37,-0.032028451561927795
38,0.16105736792087555
39,-0.018910745158791542
40,-0.15093186497688293
41,0.06966131180524826
42,0.020688556134700775
43,0.23287902772426605
44,0.2853463292121887
45,0.03720661625266075
46,0.00231984443962574
47,-0.06826364248991013
48,0.1323254555463791
49,-0.20308834314346313
50,0.040394484996795654
51,0.08281537890434265
52,0.19550271332263947
53,0.08956165611743927
54,0.07891718298196793
55,-0.06201391667127609
56,0.03383994102478027
57,0.19478772580623627
58,-0.19383955001831055
59,0.07834657281637192
60,-0.007922759279608727
61,-0.060496702790260315
62,0.04778192937374115
63,-0.05469542741775513
64,0.15938521921634674
65,0.09658082574605942
66,-0.05562759190797806
67,-0.12685272097587585
68,0.19297286868095398
69,-0.10275250673294067
70,-0.09320955723524094
71,0.10412424802780151
72,-0.14569281041622162
73,-0.19142359495162964
74,-0.36111798882484436
75,0.0025246478617191315
76,0.2722048759460449
77,0.06409023702144623
78,-0.2589060366153717
79,-0.10534658282995224
80,-0.02690184861421585
81,-0.05339854210615158
82,-0.030103977769613266
83,0.06490066647529602
84,-0.03770042955875397
85,-0.16495299339294434
86,-0.04166725277900696
87,-0.0005188975483179092
88,0.2896605432033539
89,-0.1251286268234253
90,-0.04981592297554016
91,0.2791873812675476
92,0.03257350996136665
93,-0.11148205399513245
94,0.008717348799109459
95,0.047743260860443115
96,-0.08466646075248718
97,-0.033360064029693604
98,-0.12221041321754456
99,-0.028914961963891983
100,-0.022963933646678925
101,-0.13531292974948883
102,-0.04872004687786102
103,0.09706071764230728
104,-0.20744553208351135
105,0.11993812024593353
106,-0.015094971284270287
107,-0.012281193397939205
108,-0.05070411413908005
109,0.0024873344227671623
110,-0.07825411856174469
111,-0.026386206969618797
112,0.24994415044784546
113,-0.187128484249115
114,0.21575842797756195
115,0.22855864465236664
116,-0.01883521117269993
117,0.028531469404697418
118,-0.014023462310433388
119,0.09015029668807983
120,-0.008443955332040787
121,0.07389555871486664
122,-0.1574704647064209
123,-0.12027488648891449
124,0.07364703714847565
125,0.021168667823076248
126,-0.029819771647453308
127,0.0770435780286789
